"dynasty","name","portrait_url","reign_start_year","reign_length_days","succession","fate","hint","description","birthplace","religion","hide"
"Julio-Claudian dynasty","Augustus","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/04.2022_Augustus_Bevilacqua_cropped.jpg/200px-04.2022_Augustus_Bevilacqua_cropped.jpg","-27","14813","Adopted heir","Natural causes","Took the name of his uncle; some say his wife poisoned him with figs.","Augustus was the first Roman emperor, rising to power after defeating Mark Antony and becoming the adopted heir of Julius Caesar. His reign of over 40 years established the imperial system and ushered in the Pax Romana.","Rome","Pagan","false"
"Julio-Claudian dynasty","Tiberius","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/MSR-Ra342b-DM_%281%29_%28cropped2%29.jpg/200px-MSR-Ra342b-DM_%281%29_%28cropped2%29.jpg","14","8207","Adopted heir","Murdered","A reluctant ruler who isolated himself on an island.","Tiberius was the second Roman emperor, a skilled military commander who withdrew to the island of Capri for the last decade of his reign. He ruled remotely while rumors of scandalous behavior on the island spread through Rome.","Rome","Pagan","false"
"Julio-Claudian dynasty","Caligula","https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Caligula_MET_DP337264_%28cropped%29.jpg/200px-Caligula_MET_DP337264_%28cropped%29.jpg","37","1401","Dynastic succession","Murdered","Named for something he wore as a toddler, he believed himself to be a god.","Caligula was the third Roman emperor, known for his increasingly erratic and cruel behavior after a severe illness in 37 AD. He was assassinated by the Praetorian Guard after less than four years on the throne.","Italia","Pagan","false"
"Julio-Claudian dynasty","Claudius","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Claudius_crop_%28cropped%29.jpg/200px-Claudius_crop_%28cropped%29.jpg","41","5004","Usurped","Murdered","His stammer made others underestimate him, also conquered an island.","Claudius was the fourth Roman emperor, overlooked for decades due to physical disabilities and a stammer before being proclaimed emperor by the Praetorian Guard after Caligula's assassination. He proved a capable administrator and oversaw the Roman conquest of Britain.","Gallia","Pagan","false"
"Julio-Claudian dynasty","Nero","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Nero_Glyptothek_Munich_321_%28cropped%29.jpg/200px-Nero_Glyptothek_Munich_321_%28cropped%29.jpg","54","4982","Dynastic succession","Suicide","A teenage artist whose reign went up in flames.","Nero was the last Julio-Claudian emperor, coming to power at sixteen through his mother Agrippina's machinations. He is remembered for performing publicly as an artist, the Great Fire of Rome in 64 AD, and his eventual suicide as rebellion closed in.","Italia","Pagan","false"
"Year of the Four Emperors","Galba","https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Galba%2C_aureus_%28obverse%29.jpg/200px-Galba%2C_aureus_%28obverse%29.jpg","68","217","Usurped","Murdered","Stingy to a fatal degree, he lost his supporters almost as fast as he gained them.","Galba was an elderly senator and governor of Hispania Tarraconensis who seized power after Nero's fall. His refusal to pay promised bonuses to the Praetorian Guard quickly turned his supporters against him, and he was murdered after just seven months.","Italia","Pagan","false"
"Year of the Four Emperors","Otho","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Gold_Aureus_of_Otho.jpg/200px-Gold_Aureus_of_Otho.jpg","68","91","Usurped","Suicide","Decided to kill himself to avoid further bloodshed after losing a civil war.","Otho had been exiled to Lusitania after a conflict with Nero over Poppaea Sabina. He overthrew Galba but was defeated by Vitellius's forces at the Battle of Bedriacum and took his own life after a reign of just three months.","Italia","Pagan","false"
"Year of the Four Emperors","Vitellius","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Gold_Aureus_of_Vitellius_%28MANTIS%29.jpg/200px-Gold_Aureus_of_Vitellius_%28MANTIS%29.jpg","68","241","Usurped","Murdered","A large, hungry man whose appetite dwarfed his impact.","Vitellius was proclaimed emperor by his Rhine legions and defeated Otho to claim the throne. He was known for extravagant feasting and was dragged through the streets of Rome, tortured, and killed when Vespasian's forces took the capital.","Italia","Pagan","false"
"Flavian dynasty","Vespasian","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Naples_Archaeology_Museum_%283x4_cropped%29.jpg/200px-Naples_Archaeology_Museum_%283x4_cropped%29.jpg","69","3637","Usurped","Natural causes","""A stingy military man who proclaimed, """"Money does not stink!""""""","Vespasian was a career military officer who founded the Flavian dynasty after emerging victorious from the civil war of 69 AD. He stabilized the empire's finances and began construction of the Colosseum in Rome.","Italia","Pagan","false"
"Flavian dynasty","Titus","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Titus_Ny_Carlsberg_Glyptotek_IN3159_%28cropped%29.jpg/200px-Titus_Ny_Carlsberg_Glyptotek_IN3159_%28cropped%29.jpg","79","810","Dynastic succession","Natural causes","Natural disasters defined his brief time in charge, but people loved him anyway.","Titus completed the siege of Jerusalem and destroyed the Second Temple in 70 AD before becoming emperor. His short reign was marked by the eruption of Vesuvius in 79 AD that buried Pompeii and Herculaneum.","Rome","Pagan","false"
"Flavian dynasty","Domitian","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Domiziano_da_collezione_albani%2C_fine_del_I_sec._dc._02_cropped_%28cropped%29.jpg/200px-Domiziano_da_collezione_albani%2C_fine_del_I_sec._dc._02_cropped_%28cropped%29.jpg","81","5479","Dynastic succession","Murdered","A true authoritarian, his paranoia led to his assassination despite successful monetary reforms.","Domitian was the younger son of Vespasian who became emperor after his brother Titus's early death. An effective but increasingly paranoid administrator, he was assassinated in a palace conspiracy organized by members of his own court.","Rome","Pagan","false"
"Nerva-Antonine dynasty","Nerva","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Nerva.JPG/200px-Nerva.JPG","96","494","Usurped","Natural causes","His greatest achievement was choosing his successor.","Nerva was an elderly senator chosen as emperor after Domitian's assassination, lacking military support or a strong power base. He stabilized his position by adopting the popular general Trajan as his heir, establishing the tradition of adoptive succession.","Italia","Pagan","false"
"Nerva-Antonine dynasty","Trajan","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Traianus_Glyptothek_Munich_72_%28cropped%29.jpg/200px-Traianus_Glyptothek_Munich_72_%28cropped%29.jpg","98","7126","Adopted heir","Natural causes","He hailed from the provinces and brought Rome to its territorial peak.","Trajan was the first Roman emperor born outside Italy, hailing from Italica in Hispania. He expanded the empire to its greatest territorial extent through conquests in Dacia and Mesopotamia, and is remembered as one of the 'Five Good Emperors.'","Hispania","Pagan","false"
